Y,X,DATE,CATEGORY
24.64594094,119.7943415,07_19,boat
24.65408169,119.798998,07_19,boat
24.64723525,119.8123124,07_19,boat
24.68745731,119.8465067,07_19,boat
24.18437028,119.8842417,07_19,boat
24.28974262,119.8879816,07_19,boat
24.18422558,119.8889602,07_19,boat
24.20967759,119.9522888,07_19,boat
23.87387496,119.9626612,07_19,boat
24.3890431,119.9842594,07_19,boat
23.92635123,119.9860646,07_19,boat
23.61075351,120.0074806,07_19,boat
23.56457519,120.0184368,07_19,boat
23.54843442,120.0223903,07_19,boat
23.58620138,120.0225294,07_19,boat
23.57717133,120.023073,07_19,boat
24.11310339,120.0251714,07_19,boat
23.53133944,120.0262975,07_19,boat
23.56691539,120.0269442,07_19,boat
23.54278869,120.0271797,07_19,boat
23.5563866,120.0310616,07_19,boat
23.58620596,120.0321054,07_19,boat
23.56998592,120.0359168,07_19,boat
23.54692992,120.0361738,07_19,boat
24.10423866,120.0378332,07_19,boat
23.62530361,120.0402272,07_19,boat
23.44579539,120.0409492,07_19,boat
23.59800542,120.0410259,07_19,boat
23.58639325,120.0498191,07_19,boat
23.63919378,120.0508814,07_19,boat
23.76893512,120.052781,07_19,boat
23.59962249,120.0524478,07_19,boat
23.79710171,120.0547048,07_19,boat
23.62689239,120.0563782,07_19,boat
23.63990704,120.0579827,07_19,boat
23.59359871,120.0590609,07_19,boat
24.2175907,120.0611962,07_19,boat
23.60602495,120.0616128,07_19,boat
23.7799381,120.0680772,07_19,boat
23.28370321,120.0743267,07_19,boat
23.79673309,120.0826316,07_19,boat
23.77059549,120.0875837,07_19,boat
23.25095101,120.0946873,07_19,boat
23.78123475,120.1000528,07_19,boat
23.78137228,120.1109049,07_19,boat
23.29521189,120.1136243,07_19,boat
23.74203051,120.1165099,07_19,boat
23.34447275,120.1203158,07_19,boat
23.78027328,120.1225455,07_19,boat
24.2536491,120.1221819,07_19,boat
23.74416465,120.1277005,07_19,boat
23.31079731,120.1277578,07_19,boat
23.3582676,120.1282249,07_19,boat
23.58481521,120.1297737,07_19,boat
24.22067245,120.130067,07_19,boat
23.35951226,120.130843,07_19,boat
23.75047419,120.1345131,07_19,boat
23.74364456,120.1378768,07_19,boat
23.3328551,120.1382661,07_19,boat
24.1533074,120.1406132,07_19,boat
23.39933415,120.1439554,07_19,boat
23.39645997,120.1437757,07_19,boat
23.39867666,120.1445079,07_19,boat
23.74324819,120.14483,07_19,boat
24.73804239,120.1454776,07_19,boat
23.78242937,120.1628417,07_19,boat
23.77759004,120.1630561,07_19,boat
23.90098517,120.1650839,07_19,boat
23.87820216,120.1660637,07_19,boat
23.79366436,120.1684253,07_19,boat
23.77654892,120.170557,07_19,boat
23.96015526,120.1710167,07_19,boat
23.79641985,120.1715952,07_19,boat
23.71399546,120.1736198,07_19,boat
23.79706111,120.1778689,07_19,boat
23.79689163,120.1791329,07_19,boat
23.97224234,120.1798077,07_19,boat
23.95360364,120.1814445,07_19,boat
23.9627794,120.181585,07_19,boat
23.92421505,120.1846622,07_19,boat
24.2754391,120.1863212,07_19,boat
23.96607559,120.1924932,07_19,boat
24.47217433,120.1989714,07_19,boat
24.01927977,120.2217266,07_19,boat
24.30921873,120.2280208,07_19,boat
24.30487896,120.2559222,07_19,boat
23.97317663,120.2622862,07_19,boat
24.05063736,120.2696216,07_19,boat
24.71777483,120.2727189,07_19,boat
24.04845951,120.2770145,07_19,boat
24.46604764,120.307044,07_19,boat
24.0158587,120.338999,07_19,boat
24.46731268,120.3769534,07_19,boat
24.09435879,120.3773444,07_19,boat
24.11840727,120.3832469,07_19,boat
24.31166536,120.3840592,07_19,boat
24.29462823,120.3845841,07_19,boat
24.07084945,120.387381,07_19,boat
24.06449467,120.3873101,07_19,boat
24.08136399,120.3929834,07_19,boat
24.08177687,120.3935949,07_19,boat
24.08139723,120.3962155,07_19,boat
24.08385861,120.3981307,07_19,boat
24.35347924,120.4055287,07_19,boat
24.52021589,120.4069182,07_19,boat
24.61607677,120.4104817,07_19,boat
24.1115498,120.4124876,07_19,boat
24.51374559,120.4321898,07_19,boat
24.60724674,120.4360935,07_19,boat
24.24029554,120.4425652,07_19,boat
24.26456872,120.4450146,07_19,boat
24.24960497,120.4533422,07_19,boat
24.25630996,120.4636321,07_19,boat
24.42321466,120.4681018,07_19,boat
24.21539584,120.4716309,07_19,boat
24.22566711,120.4723869,07_19,boat
24.25804015,120.4762163,07_19,boat
24.27282424,120.4766356,07_19,boat
24.2650807,120.4801574,07_19,boat
24.40702574,120.4833539,07_19,boat
24.23388363,120.4835335,07_19,boat
24.23787297,120.4844062,07_19,boat
24.27256427,120.4862448,07_19,boat
24.79114682,120.4911966,07_19,boat
24.69318407,120.4917358,07_19,boat
24.25164659,120.498328,07_19,boat
24.2891425,120.501081,07_19,boat
24.28667145,120.5023582,07_19,boat
24.2721177,120.510245,07_19,boat
24.66369483,120.5324767,07_19,boat
24.4810717,120.5895889,07_19,boat
24.54572852,120.5985454,07_19,boat
24.66205333,120.6441245,07_19,boat
24.63892465,120.6441098,07_19,boat
24.66497697,120.6438636,07_19,boat
24.63123647,120.6858309,07_19,boat
24.62530457,120.6912424,07_19,boat
24.64380322,120.6948046,07_19,boat
24.63523507,120.6954275,07_19,boat
24.65470103,120.6974029,07_19,boat
24.64524398,120.7053147,07_19,boat
24.65663631,120.707134,07_19,boat
24.63773434,120.7075187,07_19,boat
24.67161881,120.7114583,07_19,boat
24.66396224,120.7168269,07_19,boat
24.64748176,120.722827,07_19,boat
24.65528377,120.7317505,07_19,boat
24.68194522,120.7373922,07_19,boat
24.69506893,120.7393432,07_19,boat
24.70667497,120.7419142,07_19,boat
24.67600649,120.7425358,07_19,boat
24.69174497,120.7473076,07_19,boat
24.70420528,120.7492959,07_19,boat
24.71578348,120.7512493,07_19,boat
24.68632967,120.7567928,07_19,boat
24.72737838,120.759203,07_19,boat
24.70061631,120.7594634,07_19,boat
24.73808947,120.7605377,07_19,boat
24.71759457,120.7624335,07_19,boat
24.69378662,120.7689156,07_19,boat
24.70922365,120.7709542,07_19,boat
24.74389261,120.7711618,07_19,boat
24.71878606,120.7726613,07_19,boat
24.72827355,120.774281,07_19,boat
24.70422163,120.7806728,07_19,boat
24.76269571,120.7812277,07_19,boat
24.72290862,120.7842675,07_19,boat
24.73755993,120.7860449,07_19,boat
24.7530701,120.7885532,07_19,boat
24.69851598,120.7895381,07_19,boat
24.78200327,120.791058,07_19,boat
24.77402514,120.792202,07_19,boat
24.69565444,120.7929618,07_19,boat
24.72002302,120.7934616,07_19,boat
24.7442533,120.7946819,07_19,boat
24.7664299,120.7979873,07_19,boat
24.6919169,120.7980269,07_19,boat
24.70103972,120.7990207,07_19,boat
24.7339803,120.7991024,07_19,boat
24.7097897,120.799833,07_19,boat
24.78295946,120.8006478,07_19,boat
24.75407892,120.8023298,07_19,boat
24.69800403,120.8028816,07_19,boat
24.72669469,120.8060073,07_19,boat
24.69518865,120.8070768,07_19,boat
24.77791959,120.8078677,07_19,boat
24.75537416,120.8122622,07_19,boat
24.71993659,120.813115,07_19,boat
24.70942517,120.8136077,07_19,boat
24.77274565,120.8146975,07_19,boat
24.74673418,120.816043,07_19,boat
24.69782449,120.8171846,07_19,boat
24.69328738,120.8171476,07_19,boat
24.70577595,120.8181317,07_19,boat
24.72558064,120.8183572,07_19,boat
24.70228526,120.8226006,07_19,boat
24.73038607,120.8249313,07_19,boat
24.7193406,120.8264948,07_19,boat
24.69945853,120.8267001,07_19,boat
24.75658858,120.8278239,07_19,boat
24.72770761,120.8283814,07_19,boat
24.71619196,120.8301604,07_19,boat
24.70600336,120.830917,07_19,boat
24.72509168,120.8317966,07_19,boat
24.72535329,120.8331075,07_19,boat
24.71272992,120.8349227,07_19,boat
24.77500443,120.8775113,07_19,boat
23.48233118,121.5151601,07_19,boat
23.48275673,121.5160653,07_19,boat
23.97758375,121.6267556,07_19,boat
23.96477015,121.7543074,07_19,boat
24.8654466,121.8389698,07_19,boat
24.51325389,121.839453,07_19,boat
24.86817131,121.8407568,07_19,boat
24.53404859,121.8755437,07_19,boat
24.58985087,121.8783135,07_19,boat
24.59086283,121.8791384,07_19,boat
24.59178923,121.8798698,07_19,boat
24.56552819,121.9154666,07_19,boat
24.42445025,121.9234122,07_19,boat
24.40304191,121.9378298,07_19,boat
24.4231505,121.9574893,07_19,boat
24.44054875,121.9612278,07_19,boat
24.57531441,121.9624706,07_19,boat
24.44871067,121.9661053,07_19,boat
24.3807051,121.967775,07_19,boat
24.57440883,121.9713592,07_19,boat
24.46780085,121.972977,07_19,boat
24.3934417,121.9736302,07_19,boat
24.34738151,121.9732469,07_19,boat
24.57361581,121.9750688,07_19,boat
24.43909559,121.9759047,07_19,boat
24.63825209,121.9785547,07_19,boat
24.3929778,121.9787387,07_19,boat
24.37769379,121.9807498,07_19,boat
24.33484611,121.9829565,07_19,boat
24.62332961,121.9853464,07_19,boat
24.77347925,121.9860426,07_19,boat
24.4492778,121.987659,07_19,boat
24.38951587,121.9923281,07_19,boat
24.36867644,121.9926649,07_19,boat
24.43088826,121.9937826,07_19,boat
24.62266632,121.993871,07_19,boat
24.35124036,121.9939159,07_19,boat
24.43796862,121.9953614,07_19,boat
24.44722943,121.9955247,07_19,boat
24.38569408,121.9958107,07_19,boat
24.39367827,121.9956489,07_19,boat
24.71874805,121.9963276,07_19,boat
24.30235462,121.9970427,07_19,boat
24.15325167,122.0018211,07_19,boat
24.35773817,122.0058935,07_19,boat
