Y,X,DATE,CATEGORY
25.68458545,119.5720117,07_19,boat
25.68408239,119.5755461,07_19,boat
25.83392807,119.6112887,07_19,boat
25.84629658,119.6158153,07_19,boat
26.05373706,119.6171479,07_19,boat
25.73016956,119.6195421,07_19,boat
26.04234038,119.6218024,07_19,boat
25.55665937,119.6229222,07_19,boat
25.55030753,119.6241162,07_19,boat
25.54590354,119.6248027,07_19,boat
26.03910737,119.6283989,07_19,boat
25.69235716,119.6315071,07_19,boat
25.68646813,119.6351287,07_19,boat
25.62507948,119.6408418,07_19,boat
25.76057723,119.6416027,07_19,boat
25.75658473,119.6418087,07_19,boat
25.53317686,119.646019,07_19,boat
25.73228381,119.6464106,07_19,boat
25.48121004,119.6478512,07_19,boat
25.72853972,119.6507799,07_19,boat
25.64809802,119.6525384,07_19,boat
25.62533161,119.6554392,07_19,boat
25.59455629,119.6621357,07_19,boat
25.57274006,119.6631719,07_19,boat
25.47021074,119.6631559,07_19,boat
25.60197826,119.6635929,07_19,boat
25.58441006,119.6647467,07_19,boat
25.59065088,119.6652676,07_19,boat
25.21611762,119.6653448,07_19,boat
25.5775961,119.6661171,07_19,boat
25.61144653,119.6666704,07_19,boat
25.59436316,119.6668378,07_19,boat
25.58160138,119.6674195,07_19,boat
25.61418348,119.6692264,07_19,boat
25.6017315,119.6692597,07_19,boat
25.57864211,119.6692597,07_19,boat
25.58439391,119.6696414,07_19,boat
25.60748664,119.6722367,07_19,boat
25.61698218,119.6726075,07_19,boat
25.57326787,119.673343,07_19,boat
25.61209017,119.6734549,07_19,boat
25.60768122,119.6746045,07_19,boat
25.26466362,119.6752455,07_19,boat
25.40468554,119.6767586,07_19,boat
25.7192703,119.6779689,07_19,boat
25.61849437,119.677831,07_19,boat
25.450829,119.677887,07_19,boat
25.62128566,119.679302,07_19,boat
25.21424631,119.6802199,07_19,boat
25.73796839,119.6805023,07_19,boat
25.61676479,119.6807388,07_19,boat
25.61958247,119.6820057,07_19,boat
25.51345639,119.6843712,07_19,boat
25.51418274,119.6846168,07_19,boat
25.62828354,119.6906612,07_19,boat
25.42618479,119.6907142,07_19,boat
25.62756702,119.691751,07_19,boat
25.62707058,119.6925264,07_19,boat
26.22823912,119.6945876,07_19,boat
25.22512357,119.6956086,07_19,boat
25.29870605,119.6966243,07_19,boat
25.39659006,119.6984453,07_19,boat
25.23948969,119.698464,07_19,boat
25.63120194,119.7001665,07_19,boat
25.23450863,119.7029753,07_19,boat
25.52201612,119.7031053,07_19,boat
25.52196017,119.7052588,07_19,boat
25.52202424,119.7081369,07_19,boat
25.7466574,119.7097966,07_19,boat
25.34667054,119.7157082,07_19,boat
25.18283968,119.7192603,07_19,boat
25.39445656,119.7210439,07_19,boat
25.97711066,119.721227,07_19,boat
25.19868222,119.7243053,07_19,boat
25.21802168,119.7240198,07_19,boat
25.17454992,119.7261091,07_19,boat
26.14970726,119.7280886,07_19,boat
25.89373656,119.7298848,07_19,boat
25.89278336,119.7301122,07_19,boat
25.65389002,119.7320016,07_19,boat
25.23287107,119.7332553,07_19,boat
25.21715533,119.7347472,07_19,boat
25.94854098,119.7346172,07_19,boat
26.09176234,119.735361,07_19,boat
24.99997302,119.7361211,07_19,boat
26.1618561,119.7380199,07_19,boat
25.95121609,119.7388597,07_19,boat
25.09352094,119.7419101,07_19,boat
25.93245324,119.7426963,07_19,boat
25.94581719,119.7430758,07_19,boat
25.95588116,119.7441716,07_19,boat
25.95640624,119.7468964,07_19,boat
25.95922431,119.7476002,07_19,boat
25.08140209,119.7486102,07_19,boat
25.93944724,119.7496986,07_19,boat
25.50909657,119.7515864,07_19,boat
25.93053744,119.7527937,07_19,boat
25.36050025,119.7535267,07_19,boat
24.93245301,119.7542956,07_19,boat
25.19364151,119.7552883,07_19,boat
25.95030548,119.7573716,07_19,boat
25.69037419,119.7626827,07_19,boat
25.32693871,119.7625949,07_19,boat
25.68874025,119.7652345,07_19,boat
25.87421618,119.766328,07_19,boat
25.32704249,119.7665374,07_19,boat
25.69958432,119.7666978,07_19,boat
25.68736937,119.7675655,07_19,boat
25.78613266,119.7690234,07_19,boat
25.92801093,119.76932,07_19,boat
25.696672,119.7703776,07_19,boat
25.70106894,119.7705639,07_19,boat
24.82201687,119.770785,07_19,boat
25.68408782,119.7723324,07_19,boat
25.68258492,119.7746317,07_19,boat
24.75092233,119.7750028,07_19,boat
25.69814976,119.7755981,07_19,boat
25.93635538,119.7758668,07_19,boat
25.6812102,119.7771441,07_19,boat
25.69682692,119.7782597,07_19,boat
25.96101947,119.780686,07_19,boat
25.69528782,119.7810938,07_19,boat
25.68383985,119.7814693,07_19,boat
25.67817574,119.7819003,07_19,boat
25.69370746,119.7835234,07_19,boat
25.2736107,119.7842715,07_19,boat
25.67702388,119.7843936,07_19,boat
26.24437335,119.7855692,07_19,boat
25.69239212,119.7859291,07_19,boat
24.7695272,119.7865032,07_19,boat
25.69088397,119.788669,07_19,boat
26.2460929,119.7897578,07_19,boat
26.24876164,119.7905524,07_19,boat
25.68953151,119.7910595,07_19,boat
24.73305574,119.7919757,07_19,boat
24.83723396,119.7919982,07_19,boat
25.08559443,119.7936486,07_19,boat
25.44029759,119.793653,07_19,boat
26.25223687,119.7944056,07_19,boat
26.25091655,119.7970744,07_19,boat
25.94011169,119.7996003,07_19,boat
25.23051803,119.804882,07_19,boat
25.3170618,119.8094046,07_19,boat
25.31612133,119.8095446,07_19,boat
25.19519081,119.810823,07_19,boat
25.77888613,119.8113912,07_19,boat
25.97038994,119.8151506,07_19,boat
25.66277926,119.8153106,07_19,boat
25.78459268,119.8161069,07_19,boat
25.9796023,119.8162948,07_19,boat
25.642321,119.8167055,07_19,boat
25.63965535,119.8184374,07_19,boat
25.65152445,119.8199437,07_19,boat
25.71417407,119.8200942,07_19,boat
25.77037787,119.8215912,07_19,boat
25.80596755,119.8246768,07_19,boat
25.78537946,119.8256015,07_19,boat
25.97820012,119.82814,07_19,boat
25.2271972,119.8305515,07_19,boat
25.21399818,119.8313541,07_19,boat
24.85973395,119.8343655,07_19,boat
26.12332334,119.8349779,07_19,boat
26.12237974,119.8352583,07_19,boat
24.85630636,119.8353862,07_19,boat
26.1854425,119.8401667,07_19,boat
26.11964965,119.8427628,07_19,boat
26.19846261,119.8442736,07_19,boat
25.96450079,119.845625,07_19,boat
25.64437816,119.8473777,07_19,boat
24.70333379,119.8480401,07_19,boat
26.17973421,119.8491711,07_19,boat
25.20574026,119.8512425,07_19,boat
26.14860038,119.8505263,07_19,boat
26.20308281,119.8527761,07_19,boat
26.2165966,119.853173,07_19,boat
26.1913434,119.8544639,07_19,boat
25.6150645,119.8593897,07_19,boat
26.17459559,119.8598612,07_19,boat
25.75455939,119.8609127,07_19,boat
26.20679236,119.8619432,07_19,boat
25.75372279,119.8615257,07_19,boat
26.22794842,119.8641503,07_19,boat
25.61790939,119.8643737,07_19,boat
26.14052345,119.8646488,07_19,boat
26.15877134,119.8689703,07_19,boat
25.62043226,119.8693525,07_19,boat
26.21488219,119.8705054,07_19,boat
25.92809535,119.872186,07_19,boat
25.62293841,119.8743093,07_19,boat
26.09757586,119.8748705,07_19,boat
25.92516533,119.8794739,07_19,boat
25.62552919,119.8792738,07_19,boat
26.18646029,119.8795732,07_19,boat
25.29519598,119.8822855,07_19,boat
26.18023104,119.883679,07_19,boat
25.61742483,119.8846203,07_19,boat
25.62018428,119.8895895,07_19,boat
