Y,X,DATE,CATEGORY
24.64046699,119.709473,08_02,boat
24.52301938,119.7349287,08_02,boat
24.71658015,119.7388869,08_02,boat
24.69897386,119.7436038,08_02,boat
24.71817016,119.7464508,08_02,boat
24.6996368,119.7486123,08_02,boat
24.72979586,119.748704,08_02,boat
24.63446001,119.7516963,08_02,boat
24.7248509,119.7599645,08_02,boat
24.40293812,119.7660393,08_02,boat
24.69659739,119.7688822,08_02,boat
24.81112334,119.7728724,08_02,boat
24.84205233,119.7814536,08_02,boat
24.45595193,119.7839554,08_02,boat
24.79409102,119.7876781,08_02,boat
24.6356673,119.7977224,08_02,boat
24.47453784,119.816282,08_02,boat
24.84705157,119.8200211,08_02,boat
24.47047612,119.8301128,08_02,boat
25.19042806,119.8759137,08_02,boat
24.82173555,119.8776255,08_02,boat
25.22335915,119.8922644,08_02,boat
24.34990581,119.8970982,08_02,boat
24.72458563,119.8997146,08_02,boat
24.72542727,119.9003161,08_02,boat
25.51352568,119.9060435,08_02,boat
25.66948605,119.9092255,08_02,boat
25.03940966,119.9168436,08_02,boat
24.91184,119.9306258,08_02,boat
25.53353847,119.9351896,08_02,boat
25.53459503,119.9354832,08_02,boat
25.70797227,119.9364519,08_02,boat
25.72102638,119.9472839,08_02,boat
25.26580464,119.9613785,08_02,boat
25.61080572,119.9675599,08_02,boat
24.98348478,119.9757233,08_02,boat
25.22918679,119.9874638,08_02,boat
25.72730108,119.9883064,08_02,boat
25.72727018,119.9894675,08_02,boat
24.45845013,119.999615,08_02,boat
25.48662104,120.0010401,08_02,boat
25.68937518,120.0045645,08_02,boat
25.20771524,120.0067131,08_02,boat
24.92068037,120.0160689,08_02,boat
24.92428289,120.0168878,08_02,boat
25.30026724,120.0388973,08_02,boat
25.0901591,120.0421995,08_02,boat
25.69962453,120.0426539,08_02,boat
25.20299783,120.0424111,08_02,boat
25.28684865,120.0430295,08_02,boat
25.25785553,120.0472292,08_02,boat
25.28261909,120.055853,08_02,boat
25.15435532,120.0563532,08_02,boat
25.22368426,120.0572743,08_02,boat
25.31196196,120.0635273,08_02,boat
25.24902958,120.0657569,08_02,boat
24.91169837,120.0674213,08_02,boat
25.1800597,120.0696508,08_02,boat
25.2330603,120.085551,08_02,boat
25.15994795,120.0926302,08_02,boat
24.74623204,120.1011575,08_02,boat
25.25018991,120.1015623,08_02,boat
25.24404034,120.1048893,08_02,boat
25.19866817,120.1078461,08_02,boat
25.42133929,120.1081938,08_02,boat
25.42035515,120.1081855,08_02,boat
25.32780185,120.1139565,08_02,boat
25.24854834,120.1151065,08_02,boat
25.27932526,120.116624,08_02,boat
25.12939803,120.1178723,08_02,boat
25.24757543,120.1229515,08_02,boat
25.22056115,120.1238167,08_02,boat
25.21337609,120.124311,08_02,boat
24.69663808,120.1257469,08_02,boat
25.21284993,120.1251708,08_02,boat
25.29305264,120.125624,08_02,boat
25.37627594,120.1266178,08_02,boat
25.02287871,120.1266627,08_02,boat
25.26043819,120.1271119,08_02,boat
24.27012515,120.1291048,08_02,boat
24.2728206,120.1299832,08_02,boat
25.35441544,120.1297304,08_02,boat
25.23197331,120.1310703,08_02,boat
25.27970705,120.1351967,08_02,boat
25.23359828,120.1355133,08_02,boat
25.07350876,120.1359153,08_02,boat
25.07420009,120.1366033,08_02,boat
25.8155931,120.1376959,08_02,boat
25.24947874,120.1404518,08_02,boat
25.12089527,120.1455619,08_02,boat
25.1249287,120.1464408,08_02,boat
25.22570146,120.1505691,08_02,boat
25.232276,120.1505279,08_02,boat
25.49014489,120.1522123,08_02,boat
25.25413073,120.1545297,08_02,boat
25.22221487,120.1572144,08_02,boat
25.28208758,120.1596758,08_02,boat
25.256147,120.1613377,08_02,boat
25.25629096,120.1626821,08_02,boat
25.29536097,120.162696,08_02,boat
25.26397944,120.1630563,08_02,boat
25.20337021,120.1662035,08_02,boat
25.55301947,120.1699713,08_02,boat
25.55184433,120.1701182,08_02,boat
25.55415591,120.1707137,08_02,boat
25.35508853,120.1760123,08_02,boat
25.25662851,120.1763314,08_02,boat
25.25253301,120.177687,08_02,boat
25.3539906,120.1820964,08_02,boat
25.27781863,120.1817939,08_02,boat
24.31338016,120.1823651,08_02,boat
25.1921943,120.1851627,08_02,boat
25.1923646,120.1863894,08_02,boat
25.5577192,120.1889061,08_02,boat
25.32765946,120.188564,08_02,boat
24.48495799,120.1944998,08_02,boat
25.21828923,120.194243,08_02,boat
25.2836468,120.1949154,08_02,boat
25.31211425,120.1990583,08_02,boat
25.23825728,120.1990894,08_02,boat
25.31182432,120.1998255,08_02,boat
25.19914314,120.2001449,08_02,boat
24.63982386,120.2020657,08_02,boat
25.25875064,120.20848,08_02,boat
25.25631877,120.2115727,08_02,boat
25.31436761,120.2133747,08_02,boat
24.65040159,120.2141505,08_02,boat
25.26660662,120.2181037,08_02,boat
25.21963195,120.2226456,08_02,boat
24.83090528,120.2250006,08_02,boat
24.83103315,120.2267609,08_02,boat
25.26483176,120.2318595,08_02,boat
24.78156995,120.2329094,08_02,boat
24.5888678,120.2511306,08_02,boat
24.70806412,120.253605,08_02,boat
25.2819855,120.2534354,08_02,boat
24.20541306,120.2723715,08_02,boat
25.27145915,120.2785341,08_02,boat
24.44611783,120.2819814,08_02,boat
24.44742692,120.2824815,08_02,boat
25.29420985,120.2903008,08_02,boat
24.5183593,120.2924732,08_02,boat
24.84283091,120.293997,08_02,boat
25.50029436,120.304071,08_02,boat
24.65797892,120.3076547,08_02,boat
24.82594243,120.3083304,08_02,boat
25.37744151,120.3114611,08_02,boat
25.37474881,120.3107724,08_02,boat
25.37464999,120.3112395,08_02,boat
24.78043822,120.3370151,08_02,boat
25.28680944,120.3455458,08_02,boat
24.63859653,120.3503632,08_02,boat
24.27161628,120.3520997,08_02,boat
24.60139685,120.3564967,08_02,boat
24.60247029,120.356762,08_02,boat
24.60347776,120.3572378,08_02,boat
24.25213154,120.3655688,08_02,boat
24.73838688,120.3704073,08_02,boat
24.2992574,120.3749281,08_02,boat
24.26426854,120.3772803,08_02,boat
24.24398826,120.3808526,08_02,boat
25.10667886,120.3831974,08_02,boat
25.1055278,120.3830337,08_02,boat
25.22944631,120.4093575,08_02,boat
25.23261139,120.4102048,08_02,boat
24.4409793,120.41111,08_02,boat
25.41478948,120.4140648,08_02,boat
25.41544035,120.4142369,08_02,boat
25.41787275,120.414738,08_02,boat
25.41904048,120.415393,08_02,boat
24.88431643,120.4213393,08_02,boat
24.88409285,120.4226101,08_02,boat
24.88375445,120.4238811,08_02,boat
24.31356274,120.4243685,08_02,boat
24.2359635,120.4322491,08_02,boat
24.51684216,120.432064,08_02,boat
24.2517396,120.4354131,08_02,boat
24.27608569,120.4370226,08_02,boat
24.79084387,120.4379963,08_02,boat
24.79375662,120.4391349,08_02,boat
24.23939996,120.4404459,08_02,boat
24.26088052,120.4427147,08_02,boat
24.64182542,120.4436004,08_02,boat
24.74878617,120.4486449,08_02,boat
24.74758999,120.4484542,08_02,boat
24.74977861,120.4490994,08_02,boat
25.45448511,120.4507684,08_02,boat
24.90527926,120.4504929,08_02,boat
24.45768986,120.4520104,08_02,boat
24.90506609,120.4530841,08_02,boat
24.25629485,120.4535236,08_02,boat
24.26469539,120.4579071,08_02,boat
24.6055089,120.4594971,08_02,boat
24.5763416,120.4608648,08_02,boat
24.5094161,120.4607165,08_02,boat
24.26248749,120.4622488,08_02,boat
25.43461553,120.4675943,08_02,boat
25.4374076,120.4682471,08_02,boat
24.54212808,120.4778552,08_02,boat
24.4885445,120.4780635,08_02,boat
24.49667378,120.4923935,08_02,boat
24.5700915,120.5035964,08_02,boat
24.53153352,120.5048601,08_02,boat
24.66590108,120.5062959,08_02,boat
24.50174597,120.5065056,08_02,boat
24.54892624,120.5189702,08_02,boat
24.72719002,120.5240904,08_02,boat
24.7029239,120.5248744,08_02,boat
24.42671031,120.5253838,08_02,boat
24.50111743,120.5287073,08_02,boat
24.61616512,120.5339709,08_02,boat
24.59656785,120.5400203,08_02,boat
25.03202759,120.5445213,08_02,boat
24.54666136,120.5470252,08_02,boat
24.68877227,120.5570623,08_02,boat
24.64200085,120.5595637,08_02,boat
25.31226617,120.5600918,08_02,boat
25.31468586,120.5605833,08_02,boat
24.5770295,120.5618274,08_02,boat
25.02314744,120.5642115,08_02,boat
24.52161213,120.5665644,08_02,boat
24.84381097,120.5706262,08_02,boat
24.61480747,120.5763893,08_02,boat
24.52811992,120.5789195,08_02,boat
24.64279727,120.5868383,08_02,boat
24.51895457,120.588931,08_02,boat
24.59145265,120.589779,08_02,boat
24.53256219,120.5922338,08_02,boat
24.61884709,120.5930765,08_02,boat
24.66056397,120.6069804,08_02,boat
24.74906098,120.6079014,08_02,boat
24.79147206,120.6164536,08_02,boat
25.67647563,120.6242741,08_02,boat
25.67965498,120.6249133,08_02,boat
25.67711724,120.6244057,08_02,boat
24.69825537,120.626668,08_02,boat
24.85005591,120.6380287,08_02,boat
24.74282892,120.638133,08_02,boat
25.06386607,120.6679564,08_02,boat
24.85693089,120.6729419,08_02,boat
24.65478948,120.69741,08_02,boat
25.18889146,120.6986731,08_02,boat
25.19321426,120.6995975,08_02,boat
25.19188475,120.6995094,08_02,boat
25.19437552,120.7005346,08_02,boat
25.19543282,120.701006,08_02,boat
24.65654989,120.7069311,08_02,boat
24.6716222,120.7113531,08_02,boat
24.88283675,120.715361,08_02,boat
25.738528,120.7214982,08_02,boat
25.75760369,120.7227114,08_02,boat
24.78797272,120.7237625,08_02,boat
24.79010905,120.7243711,08_02,boat
24.80823763,120.7268354,08_02,boat
24.9194377,120.728535,08_02,boat
25.82576297,120.7301135,08_02,boat
25.26110294,120.7344239,08_02,boat
25.74156387,120.736498,08_02,boat
25.74044071,120.7367351,08_02,boat
25.73898441,120.7370445,08_02,boat
24.69532342,120.739272,08_02,boat
24.70654188,120.7418437,08_02,boat
24.88321314,120.7479375,08_02,boat
24.70412848,120.7492291,08_02,boat
25.79861326,120.7499644,08_02,boat
25.4880613,120.7509619,08_02,boat
24.71587158,120.7511754,08_02,boat
25.81270189,120.7541962,08_02,boat
24.72742398,120.759056,08_02,boat
24.73817177,120.7604365,08_02,boat
24.71753469,120.7623954,08_02,boat
25.26510044,120.7678934,08_02,boat
25.49991583,120.7687573,08_02,boat
25.50845742,120.7696038,08_02,boat
24.70932176,120.7708359,08_02,boat
24.74364089,120.7709689,08_02,boat
24.71871189,120.7725088,08_02,boat
25.68208171,120.7723717,08_02,boat
24.72819836,120.7741619,08_02,boat
25.49657533,120.7776418,08_02,boat
24.76281769,120.7810766,08_02,boat
24.90544195,120.7819348,08_02,boat
25.42544488,120.7822428,08_02,boat
25.42609351,120.7824119,08_02,boat
25.42906932,120.7833128,08_02,boat
24.7230323,120.7841499,08_02,boat
25.43194529,120.7841921,08_02,boat
24.73753155,120.7858716,08_02,boat
24.7531179,120.7885038,08_02,boat
25.65759923,120.7910012,08_02,boat
24.77396993,120.792122,08_02,boat
24.72001661,120.7933278,08_02,boat
24.74414463,120.7945533,08_02,boat
24.76644463,120.7978562,08_02,boat
24.73395122,120.7989911,08_02,boat
25.78773064,120.8001794,08_02,boat
24.89570585,120.8004123,08_02,boat
24.78296701,120.8005476,08_02,boat
24.73408318,120.8003414,08_02,boat
24.75417576,120.8022772,08_02,boat
24.94158809,120.8054643,08_02,boat
24.94256433,120.8056583,08_02,boat
24.72669712,120.8058913,08_02,boat
24.77780459,120.8077705,08_02,boat
24.75530609,120.812076,08_02,boat
25.78137122,120.8142332,08_02,boat
24.77275164,120.8145364,08_02,boat
25.77852988,120.8191057,08_02,boat
25.01516683,120.822914,08_02,boat
25.78692444,120.8260175,08_02,boat
25.15339025,120.8498202,08_02,boat
25.15260253,120.849719,08_02,boat
25.15310448,120.850909,08_02,boat
25.77855436,120.8629925,08_02,boat
25.06655567,120.8831876,08_02,boat
25.73040219,120.8879193,08_02,boat
25.73848565,120.8949588,08_02,boat
25.73511921,120.8961848,08_02,boat
25.09259607,120.8993589,08_02,boat
25.13047493,120.9144832,08_02,boat
25.06196597,120.9262408,08_02,boat
25.0590359,120.9258489,08_02,boat
25.71050377,120.9321563,08_02,boat
25.72665384,120.9372625,08_02,boat
25.69942373,120.9398943,08_02,boat
25.71934376,120.9857366,08_02,boat
25.47736961,120.9905002,08_02,boat
25.63911474,120.9980349,08_02,boat
25.46656372,121.009118,08_02,boat
25.25348917,121.0160928,08_02,boat
25.25201199,121.0157044,08_02,boat
25.59607242,121.0338169,08_02,boat
25.45335139,121.0422705,08_02,boat
25.1609171,121.0490324,08_02,boat
25.64660147,121.055648,08_02,boat
25.6473697,121.0567944,08_02,boat
25.55232328,121.0637178,08_02,boat
25.18812666,121.0684239,08_02,boat
25.71005247,121.1239049,08_02,boat
25.16078,121.1271948,08_02,boat
25.34952452,121.6557022,08_02,boat
23.98888462,121.7362286,08_02,boat
23.92401454,122.0270038,08_02,boat
24.02860486,122.0429304,08_02,boat
23.96451508,122.0446646,08_02,boat
23.94216051,122.046587,08_02,boat
24.09924275,122.049594,08_02,boat
23.9558149,122.0534502,08_02,boat
23.92334361,122.0624451,08_02,boat
23.93646645,122.0653839,08_02,boat
24.02914385,122.0763054,08_02,boat
23.90857964,122.0796681,08_02,boat
23.96366351,122.081781,08_02,boat
23.92382671,122.0837038,08_02,boat
24.15682193,122.0884351,08_02,boat
24.19190252,122.0912299,08_02,boat
24.13754408,122.0918621,08_02,boat
24.07273063,122.0976113,08_02,boat
23.99437401,122.0988861,08_02,boat
24.01771845,122.1029467,08_02,boat
