Y,X,DATE,CATEGORY
22.93647095,119.4027362,08_02,boat
23.29541359,119.4503835,08_02,boat
23.2969587,119.450644,08_02,boat
23.30490973,119.4516814,08_02,boat
23.30592388,119.4518658,08_02,boat
23.3013249,119.4520259,08_02,boat
23.30639999,119.4521173,08_02,boat
23.30492253,119.4522198,08_02,boat
22.99710166,119.4637093,08_02,boat
22.74198717,119.463864,08_02,boat
23.80640642,119.5489736,08_02,boat
22.91563714,119.5693488,08_02,boat
22.91038838,119.5841803,08_02,boat
23.00099589,119.5863076,08_02,boat
22.8714537,119.6573312,08_02,boat
22.97027602,119.691089,08_02,boat
22.80377521,119.7057436,08_02,boat
24.07439875,119.706355,08_02,boat
23.9050587,119.7083323,08_02,boat
23.00045236,119.7631899,08_02,boat
22.92772166,119.7657601,08_02,boat
23.64798897,119.7881388,08_02,boat
23.0052984,119.8110058,08_02,boat
23.00653337,119.8113423,08_02,boat
23.00763829,119.8114595,08_02,boat
23.19786778,119.8337564,08_02,boat
23.86082566,119.8479368,08_02,boat
23.86192116,119.8488313,08_02,boat
22.7953431,119.8538951,08_02,boat
22.95524562,119.8555477,08_02,boat
24.1613364,119.8634096,08_02,boat
22.67729033,119.8639673,08_02,boat
24.16447572,119.864519,08_02,boat
23.0664218,119.8653124,08_02,boat
23.69318221,119.8672051,08_02,boat
23.66579613,119.8676512,08_02,boat
23.67136977,119.8685212,08_02,boat
23.67041103,119.8688494,08_02,boat
23.40339109,119.8793291,08_02,boat
23.40480462,119.879588,08_02,boat
23.40595803,119.879858,08_02,boat
23.16828402,119.8899292,08_02,boat
23.04317853,119.8923928,08_02,boat
22.79277879,119.8939617,08_02,boat
23.30813374,119.8960952,08_02,boat
22.98084065,119.9016828,08_02,boat
23.52808482,119.9104698,08_02,boat
23.0687667,119.9149785,08_02,boat
23.52646806,119.923397,08_02,boat
22.7356577,119.9240442,08_02,boat
23.20924736,119.9247838,08_02,boat
23.21070246,119.9250084,08_02,boat
23.43369887,119.9354579,08_02,boat
23.39492886,119.9358925,08_02,boat
22.90634379,119.9363402,08_02,boat
22.90534795,119.9364791,08_02,boat
23.91567708,119.941707,08_02,boat
23.54330318,119.9426035,08_02,boat
22.86461274,119.9428744,08_02,boat
23.5398446,119.9434857,08_02,boat
22.89484198,119.9493656,08_02,boat
22.94504581,119.9592868,08_02,boat
23.57793516,119.9755323,08_02,boat
23.61741471,119.9781268,08_02,boat
22.7401641,119.9799853,08_02,boat
23.58952134,119.9836956,08_02,boat
23.13375153,119.985042,08_02,boat
23.95209376,119.9873583,08_02,boat
23.77487183,119.9916062,08_02,boat
23.54323995,119.9910896,08_02,boat
23.56549208,119.9923137,08_02,boat
23.56720034,119.9997855,08_02,boat
23.56018289,120.0010584,08_02,boat
23.22963747,120.0045636,08_02,boat
22.74042786,120.0117089,08_02,boat
23.57070427,120.011384,08_02,boat
24.13535596,120.0128793,08_02,boat
23.60282078,120.0148356,08_02,boat
22.7736817,120.0220008,08_02,boat
23.58628269,120.0222501,08_02,boat
22.77661039,120.0227075,08_02,boat
23.57817466,120.0229779,08_02,boat
23.68252129,120.0237534,08_02,boat
23.58632354,120.0234638,08_02,boat
22.71863393,120.029605,08_02,boat
23.5863724,120.0318906,08_02,boat
23.32115931,120.0372799,08_02,boat
23.62485935,120.0402077,08_02,boat
23.59804207,120.0408121,08_02,boat
24.11864366,120.0450047,08_02,boat
24.11938131,120.0452569,08_02,boat
24.12139593,120.0457384,08_02,boat
22.68705513,120.0466308,08_02,boat
23.59394134,120.0466585,08_02,boat
23.58650334,120.0497191,08_02,boat
23.63898214,120.0500337,08_02,boat
23.6562188,120.0513446,08_02,boat
23.59964996,120.0522884,08_02,boat
23.59950124,120.0534781,08_02,boat
22.69881585,120.0557664,08_02,boat
23.62688264,120.0560184,08_02,boat
23.62677965,120.057218,08_02,boat
23.64014209,120.0579677,08_02,boat
22.96257831,120.0606766,08_02,boat
23.60592226,120.0614924,08_02,boat
23.64272001,120.0667555,08_02,boat
23.7691189,120.067486,08_02,boat
23.78483919,120.0712503,08_02,boat
23.77676915,120.0845645,08_02,boat
22.93117292,120.0852821,08_02,boat
22.9498463,120.0851309,08_02,boat
23.50522395,120.0852943,08_02,boat
23.54406727,120.0869208,08_02,boat
22.66235584,120.087314,08_02,boat
23.78765936,120.09082,08_02,boat
23.98395587,120.0932762,08_02,boat
22.94035448,120.09479,08_02,boat
23.72256893,120.0961314,08_02,boat
23.97534344,120.095868,08_02,boat
24.00050698,120.0959643,08_02,boat
